0,-1.0,2098,0.660153,-27.0,26.0,0.433270,-24.0,29.0,-0.307912,-14.0,15.0,10
1,0.0,317,0.148265,-25.0,17.0,-0.230284,-22.0,19.0,-0.432177,-16.0,14.0,10
2,1.0,1297,-0.161912,-26.0,20.0,-0.207402,-23.0,24.0,-0.062452,-14.0,14.0,10
0,-1.0,1612,0.789082,-27.0,32.0,0.352357,-24.0,29.0,-0.490695,-14.0,15.0,11
1,0.0,242,0.157025,-25.0,17.0,-0.239669,-22.0,19.0,-0.475207,-16.0,14.0,11
2,1.0,1028,-0.098249,-26.0,20.0,-0.132296,-23.0,24.0,-0.097276,-15.0,14.0,11
0,-1.0,1119,0.982127,-27.0,26.0,0.445934,-24.0,29.0,-0.643432,-14.0,15.0,12
1,0.0,186,-0.091398,-25.0,17.0,-0.446237,-22.0,16.0,-0.381720,-16.0,14.0,12
2,1.0,737,0.073270,-26.0,19.0,-0.202171,-23.0,23.0,-0.344640,-15.0,14.0,12
0,-1.0,695,0.949640,-25.0,25.0,0.568345,-19.0,29.0,-0.710791,-19.0,16.0,13
1,0.0,116,-0.224138,-25.0,17.0,-1.172414,-17.0,16.0,-0.905172,-16.0,14.0,13
2,1.0,495,0.563636,-26.0,24.0,-0.139394,-23.0,23.0,-0.830303,-15.0,14.0,13
0,-1.0,500,1.392000,-25.0,25.0,0.922000,-19.0,20.0,-0.930000,-19.0,16.0,14
1,0.0,92,-0.260870,-25.0,17.0,-1.293478,-17.0,16.0,-0.804348,-16.0,14.0,14
2,1.0,363,0.289256,-26.0,19.0,-0.454545,-23.0,23.0,-0.672176,-15.0,15.0,14
0,-1.0,315,1.876190,-25.0,23.0,1.180952,-18.0,19.0,-1.257143,-19.0,16.0,15
1,0.0,71,-0.281690,-25.0,17.0,-1.211268,-17.0,11.0,-0.802817,-16.0,14.0,15
2,1.0,214,0.098131,-23.0,20.0,-0.836449,-20.0,17.0,-0.518692,-15.0,15.0,15
0,-1.0,246,1.934959,-21.0,20.0,1.386179,-18.0,19.0,-1.284553,-19.0,16.0,16
1,0.0,67,-0.388060,-25.0,17.0,-0.865672,-17.0,11.0,-0.895522,-16.0,14.0,16
2,1.0,166,0.126506,-23.0,19.0,-0.783133,-20.0,17.0,-0.626506,-15.0,15.0,16
0,-1.0,145,1.827586,-25.0,20.0,1.268966,-18.0,16.0,-1.337931,-19.0,16.0,17
1,0.0,56,0.232143,-25.0,17.0,-0.589286,-17.0,11.0,-0.803571,-16.0,14.0,17
2,1.0,97,0.237113,-18.0,18.0,-0.804124,-20.0,17.0,-1.051546,-10.0,15.0,17
0,-1.0,109,2.055046,-25.0,20.0,1.467890,-18.0,15.0,-1.449541,-19.0,16.0,18
1,0.0,40,1.725000,-21.0,19.0,0.125000,-12.0,16.0,-2.025000,-16.0,9.0,18
2,1.0,73,0.191781,-18.0,18.0,-0.643836,-20.0,17.0,-0.767123,-10.0,12.0,18
0,-1.0,41,3.073171,-13.0,20.0,1.853659,-11.0,15.0,-1.804878,-19.0,9.0,19
1,0.0,17,1.235294,-15.0,13.0,-0.647059,-12.0,8.0,-1.470588,-16.0,8.0,19
2,1.0,26,0.692308,-14.0,18.0,1.230769,-9.0,14.0,-0.923077,-10.0,9.0,19
0,-1.0,16,6.187500,-9.0,20.0,3.687500,-10.0,15.0,-3.750000,-19.0,9.0,20
1,0.0,8,0.625000,-15.0,11.0,-0.750000,-12.0,8.0,-2.125000,-9.0,8.0,20
2,1.0,9,0.555556,-14.0,18.0,0.222222,-9.0,14.0,0.888889,-10.0,9.0,20
0,-1.0,10,6.500000,-9.0,20.0,5.200000,-10.0,15.0,-3.300000,-13.0,9.0,21
1,0.0,6,-1.166667,-15.0,11.0,-1.000000,-12.0,8.0,-1.000000,-8.0,8.0,21
2,1.0,6,2.333333,-14.0,18.0,0.666667,-9.0,14.0,-1.166667,-10.0,9.0,21
0,-1.0,5,13.200000,6.0,20.0,9.200000,4.0,15.0,-6.400000,-13.0,0.0,22
1,0.0,5,-1.600000,-15.0,11.0,-2.000000,-12.0,8.0,0.400000,-6.0,8.0,22
2,1.0,4,1.500000,-14.0,9.0,2.750000,-9.0,14.0,-1.750000,-10.0,4.0,22
